model,obs,lead_day,threshold_mm_day,season,forecast_probability,observed_frequency,count,abs_calibration_gap,weighted_abs_gap,ece
neuralgcm,ERA5,5,10,MAM,1.0,0.5942028985507246,69,0.4057971014492754,0.000594429347826087,0.0464652683423913
neuralgcm,ERA5,5,20,MAM,0.0,0.01696031241485787,44044,0.01696031241485787,0.015858525815217392,0.019138502038043476
neuralgcm,ERA5,5,20,MAM,0.1,0.10770089285714286,1792,0.0077008928571428575,0.00029296875000000004,0.019138502038043476
neuralgcm,ERA5,5,20,MAM,0.2,0.14990859232175502,547,0.05009140767824499,0.0005816915760869567,0.019138502038043476
neuralgcm,ERA5,5,20,MAM,0.3,0.16927899686520376,319,0.13072100313479623,0.0008852751358695652,0.019138502038043476
neuralgcm,ERA5,5,20,MAM,0.4,0.2692307692307692,156,0.1307692307692308,0.0004330842391304349,0.019138502038043476
neuralgcm,ERA5,5,20,MAM,0.5,0.36363636363636365,143,0.13636363636363635,0.0004139775815217391,0.019138502038043476
neuralgcm,ERA5,5,20,MAM,0.6,0.38181818181818183,55,0.21818181818181814,0.00025475543478260863,0.019138502038043476
neuralgcm,ERA5,5,20,MAM,0.7,0.4375,16,0.26249999999999996,8.916440217391303e-05,0.019138502038043476
neuralgcm,ERA5,5,20,MAM,0.8,0.2608695652173913,23,0.5391304347826087,0.00026324728260869565,0.019138502038043476
neuralgcm,ERA5,5,20,MAM,0.9,0.5555555555555556,9,0.34444444444444444,6.581182065217391e-05,0.019138502038043476
neuralgcm,ERA5,5,20,MAM,1.0,,0,,,0.019138502038043476
neuralgcm,ERA5,7,1,MAM,0.0,0.03143491124260355,10816,0.03143491124260355,0.007218070652173913,0.09933763586956522
neuralgcm,ERA5,7,1,MAM,0.1,0.09840071079520213,4502,0.0015992892047978768,0.0001528532608695661,0.09933763586956522
neuralgcm,ERA5,7,1,MAM,0.2,0.14615144904954813,3209,0.05384855095045188,0.003668478260869567,0.09933763586956522
neuralgcm,ERA5,7,1,MAM,0.3,0.2138849929873773,2852,0.0861150070126227,0.00521399456521739,0.09933763586956522
neuralgcm,ERA5,7,1,MAM,0.4,0.28053204353083433,2481,0.11946795646916569,0.006292459239130436,0.09933763586956522
neuralgcm,ERA5,7,1,MAM,0.5,0.3678711362646931,2297,0.1321288637353069,0.006443189538043477,0.09933763586956522
neuralgcm,ERA5,7,1,MAM,0.6,0.4281237759498629,2553,0.17187622405013708,0.00931555706521739,0.09933763586956522
neuralgcm,ERA5,7,1,MAM,0.7,0.522077004592017,2831,0.17792299540798295,0.010693359374999994,0.09933763586956522
neuralgcm,ERA5,7,1,MAM,0.8,0.6154454401686874,3794,0.18455455983131264,0.01486497961956522,0.09933763586956522
neuralgcm,ERA5,7,1,MAM,0.9,0.7270833333333333,4800,0.17291666666666672,0.01762058423913044,0.09933763586956522
neuralgcm,ERA5,7,1,MAM,1.0,0.8793227148801837,6969,0.12067728511981635,0.017854110054347828,0.09933763586956522
neuralgcm,ERA5,7,5,MAM,0.0,0.0204313776961106,22857,0.0204313776961106,0.00991423233695652,0.06545516304347826
neuralgcm,ERA5,7,5,MAM,0.1,0.11503161329798083,4903,0.01503161329798082,0.0015646229619565208,0.06545516304347826
neuralgcm,ERA5,7,5,MAM,0.2,0.18659580749926188,3387,0.013404192500738127,0.0009638247282608704,0.06545516304347826
neuralgcm,ERA5,7,5,MAM,0.3,0.2568,2500,0.043200000000000016,0.0022927989130434793,0.06545516304347826
neuralgcm,ERA5,7,5,MAM,0.4,0.3019223520542782,2653,0.09807764794572182,0.005523947010869565,0.06545516304347826
neuralgcm,ERA5,7,5,MAM,0.5,0.3964544721998388,2482,0.10354552780016119,0.005456012228260871,0.06545516304347826
neuralgcm,ERA5,7,5,MAM,0.6,0.43825538623226484,1903,0.16174461376773513,0.006534476902173912,0.06545516304347826
neuralgcm,ERA5,7,5,MAM,0.7,0.4860248447204969,1932,0.21397515527950306,0.008776324728260867,0.06545516304347826
neuralgcm,ERA5,7,5,MAM,0.8,0.5604026845637584,1788,0.23959731543624163,0.009094769021739132,0.06545516304347826
neuralgcm,ERA5,7,5,MAM,0.9,0.6540642722117203,1587,0.24593572778827977,0.008285920516304347,0.06545516304347826
neuralgcm,ERA5,7,5,MAM,1.0,0.7014388489208633,1112,0.2985611510791367,0.007048233695652175,0.06545516304347826
neuralgcm,ERA5,7,10,MAM,0.0,0.02566497069620661,31054,0.02566497069620661,0.01692000679347826,0.050719684103260866
neuralgcm,ERA5,7,10,MAM,0.1,0.11812055409958817,5342,0.018120554099588168,0.0020550271739130433,0.050719684103260866
neuralgcm,ERA5,7,10,MAM,0.2,0.18296632124352333,3088,0.017033678756476683,0.0011166779891304348,0.050719684103260866
neuralgcm,ERA5,7,10,MAM,0.3,0.23762817654926438,2243,0.06237182345073561,0.0029700237771739125,0.050719684103260866
neuralgcm,ERA5,7,10,MAM,0.4,0.25308641975308643,1620,0.1469135802469136,0.00505264945652174,0.050719684103260866
neuralgcm,ERA5,7,10,MAM,0.5,0.2780487804878049,1230,0.2219512195121951,0.005795686141304347,0.050719684103260866
neuralgcm,ERA5,7,10,MAM,0.6,0.35669456066945604,956,0.24330543933054394,0.0049380095108695655,0.050719684103260866
neuralgcm,ERA5,7,10,MAM,0.7,0.3795518207282913,714,0.32044817927170866,0.004857336956521739,0.050719684103260866
neuralgcm,ERA5,7,10,MAM,0.8,0.45454545454545453,440,0.3454545454545455,0.003226902173913044,0.050719684103260866
neuralgcm,ERA5,7,10,MAM,0.9,0.4699248120300752,266,0.43007518796992483,0.00242866847826087,0.050719684103260866
neuralgcm,ERA5,7,10,MAM,1.0,0.5761589403973509,151,0.42384105960264906,0.0013586956521739132,0.050719684103260866
neuralgcm,ERA5,7,20,MAM,0.0,0.016024119266926217,42124,0.016024119266926217,0.014329993206521738,0.022951341711956525
neuralgcm,ERA5,7,20,MAM,0.1,0.0737410071942446,2780,0.0262589928057554,0.00154976222826087,0.022951341711956525
neuralgcm,ERA5,7,20,MAM,0.2,0.09650735294117647,1088,0.10349264705882354,0.002390455163043478,0.022951341711956525
neuralgcm,ERA5,7,20,MAM,0.3,0.15575221238938053,565,0.14424778761061946,0.0017302139945652173,0.022951341711956525
neuralgcm,ERA5,7,20,MAM,0.4,0.1596958174904943,263,0.24030418250950572,0.0013417119565217392,0.022951341711956525
neuralgcm,ERA5,7,20,MAM,0.5,0.2932330827067669,133,0.2067669172932331,0.0005838145380434783,0.022951341711956525
neuralgcm,ERA5,7,20,MAM,0.6,0.28378378378378377,74,0.3162162162162162,0.0004967730978260869,0.022951341711956525
neuralgcm,ERA5,7,20,MAM,0.7,0.40625,32,0.29374999999999996,0.00019955842391304344,0.022951341711956525
neuralgcm,ERA5,7,20,MAM,0.8,0.45,40,0.35000000000000003,0.0002972146739130435,0.022951341711956525
neuralgcm,ERA5,7,20,MAM,0.9,0.6,5,0.30000000000000004,3.184442934782609e-05,0.022951341711956525
neuralgcm,ERA5,7,20,MAM,1.0,,0,,,0.022951341711956525
gencast,CHIRPS,1,1,JJAS,0.0,0.08808647654093836,34784,0.08808647654093836,0.049052254098360656,0.11683849897540984
gencast,CHIRPS,1,1,JJAS,0.1,0.2769915082895269,4946,0.1769915082895269,0.014014472336065573,0.11683849897540984
gencast,CHIRPS,1,1,JJAS,0.2,0.37210216110019645,2545,0.17210216110019644,0.007012038934426228,0.11683849897540984
gencast,CHIRPS,1,1,JJAS,0.3,0.45454545454545453,2013,0.15454545454545454,0.00498046875,0.11683849897540984
gencast,CHIRPS,1,1,JJAS,0.4,0.5271122320302648,1586,0.12711223203026478,0.0032274590163934415,0.11683849897540984
gencast,CHIRPS,1,1,JJAS,0.5,0.5850244926522044,1429,0.08502449265220435,0.0019451203893442624,0.11683849897540984
gencast,CHIRPS,1,1,JJAS,0.6,0.5976535541752933,1449,0.0023464458247066666,5.443135245901576e-05,0.11683849897540984
gencast,CHIRPS,1,1,JJAS,0.7,0.6604527296937417,1502,0.039547270306258264,0.0009509477459016379,0.11683849897540984
gencast,CHIRPS,1,1,JJAS,0.8,0.6661073825503355,1788,0.13389261744966452,0.0038326075819672158,0.11683849897540984
gencast,CHIRPS,1,1,JJAS,0.9,0.7132416165090284,2326,0.18675838349097162,0.006954405737704917,0.11683849897540984
gencast,CHIRPS,1,1,JJAS,1.0,0.8085474308300395,8096,0.19145256916996045,0.024814293032786882,0.11683849897540984
gencast,CHIRPS,1,5,JJAS,0.0,0.0586246719160105,47625,0.0586246719160105,0.044697745901639344,0.0939485143442623
gencast,CHIRPS,1,5,JJAS,0.1,0.28238428238428237,3003,0.18238428238428236,0.008768250512295081,0.0939485143442623
gencast,CHIRPS,1,5,JJAS,0.2,0.35244040862656073,1762,0.15244040862656072,0.0043000768442622945,0.0939485143442623
gencast,CHIRPS,1,5,JJAS,0.3,0.36567704561911657,1381,0.06567704561911658,0.0014520363729508196,0.0939485143442623
gencast,CHIRPS,1,5,JJAS,0.4,0.4246935201401051,1142,0.024693520140105063,0.0004514600409836063,0.0939485143442623
gencast,CHIRPS,1,5,JJAS,0.5,0.4212962962962963,1080,0.07870370370370372,0.00136078381147541,0.0939485143442623
gencast,CHIRPS,1,5,JJAS,0.6,0.4788004136504654,967,0.1211995863495346,0.0018762807377049173,0.0939485143442623
gencast,CHIRPS,1,5,JJAS,0.7,0.46609257265877285,929,0.2339074273412271,0.0034788037909836062,0.0939485143442623
gencast,CHIRPS,1,5,JJAS,0.8,0.5049212598425197,1016,0.29507874015748037,0.004799564549180328,0.0939485143442623
gencast,CHIRPS,1,5,JJAS,0.9,0.5116279069767442,1161,0.3883720930232558,0.007218557889344262,0.0939485143442623
gencast,CHIRPS,1,5,JJAS,1.0,0.5950792326939116,2398,0.4049207673060884,0.015544953893442622,0.0939485143442623
gencast,CHIRPS,1,10,JJAS,0.0,0.03153988868274583,53361,0.03153988868274583,0.026943519467213115,0.05772605020491803
gencast,CHIRPS,1,10,JJAS,0.1,0.16847405112316033,2582,0.06847405112316032,0.002830430327868852,0.05772605020491803
gencast,CHIRPS,1,10,JJAS,0.2,0.2127825409197194,1283,0.012782540919719393,0.00026255122950819644,0.05772605020491803
gencast,CHIRPS,1,10,JJAS,0.3,0.21241513094083414,1031,0.08758486905916585,0.0014456326844262295,0.05772605020491803
gencast,CHIRPS,1,10,JJAS,0.4,0.2285012285012285,814,0.17149877149877152,0.002234887295081967,0.05772605020491803
gencast,CHIRPS,1,10,JJAS,0.5,0.24572317262830481,643,0.2542768273716952,0.00261750768442623,0.05772605020491803
gencast,CHIRPS,1,10,JJAS,0.6,0.30434782608695654,552,0.29565217391304344,0.0026127049180327865,0.05772605020491803
gencast,CHIRPS,1,10,JJAS,0.7,0.2859848484848485,528,0.41401515151515145,0.0034996157786885244,0.05772605020491803
gencast,CHIRPS,1,10,JJAS,0.8,0.3135245901639344,488,0.48647540983606563,0.0038005891393442627,0.05772605020491803
gencast,CHIRPS,1,10,JJAS,0.9,0.31555555555555553,450,0.5844444444444445,0.004210425204918033,0.05772605020491803
gencast,CHIRPS,1,10,JJAS,1.0,0.3797814207650273,732,0.6202185792349727,0.007268186475409836,0.05772605020491803
gencast,CHIRPS,1,20,JJAS,0.0,0.007189133413400545,59117,0.007189133413400545,0.00680391905737705,0.01777503842213115
gencast,CHIRPS,1,20,JJAS,0.1,0.04802867383512545,1395,0.05197132616487456,0.0011606685450819673,0.01777503842213115
gencast,CHIRPS,1,20,JJAS,0.2,0.07848443843031123,739,0.12151556156968878,0.001437628073770492,0.01777503842213115
gencast,CHIRPS,1,20,JJAS,0.3,0.08093994778067885,383,0.21906005221932112,0.0013431736680327867,0.01777503842213115
gencast,CHIRPS,1,20,JJAS,0.4,0.10756972111553785,251,0.29243027888446216,0.0011750768442622952,0.01777503842213115
gencast,CHIRPS,1,20,JJAS,0.5,0.07096774193548387,155,0.4290322580645161,0.0010646132172131147,0.01777503842213115
gencast,CHIRPS,1,20,JJAS,0.6,0.1326530612244898,98,0.46734693877551015,0.0007332223360655737,0.01777503842213115
gencast,CHIRPS,1,20,JJAS,0.7,0.08108108108108109,74,0.6189189189189188,0.0007332223360655737,0.01777503842213115
gencast,CHIRPS,1,20,JJAS,0.8,0.08064516129032258,62,0.7193548387096774,0.0007140112704918033,0.01777503842213115
gencast,CHIRPS,1,20,JJAS,0.9,0.11428571428571428,70,0.7857142857142857,0.0008805071721311474,0.01777503842213115
gencast,CHIRPS,1,20,JJAS,1.0,0.1,120,0.9,0.0017289959016393442,0.01777503842213115
gencast,CHIRPS,3,1,JJAS,0.0,0.065905124543868,31515,0.065905124543868,0.03325115266393442,0.09000704405737704
gencast,CHIRPS,3,1,JJAS,0.1,0.22231155778894474,4975,0.12231155778894473,0.009741611168032788,0.09000704405737704
gencast,CHIRPS,3,1,JJAS,0.2,0.32453637660485024,2804,0.12453637660485023,0.005590420081967214,0.09000704405737704
gencast,CHIRPS,3,1,JJAS,0.3,0.37991473235433443,2111,0.07991473235433444,0.0027007556352459015,0.09000704405737704
gencast,CHIRPS,3,1,JJAS,0.4,0.4727272727272727,2090,0.0727272727272727,0.002433401639344261,0.09000704405737704
gencast,CHIRPS,3,1,JJAS,0.5,0.538750587130108,2129,0.03875058713010804,0.0013207607581967214,0.09000704405737704
gencast,CHIRPS,3,1,JJAS,0.6,0.5925577013659915,2123,0.007442298634008471,0.0002529456967213112,0.09000704405737704
gencast,CHIRPS,3,1,JJAS,0.7,0.6142625607779578,2468,0.08573743922204213,0.0033875512295081967,0.09000704405737704
gencast,CHIRPS,3,1,JJAS,0.8,0.6841317365269461,2672,0.1158682634730539,0.004956454918032788,0.09000704405737704
gencast,CHIRPS,3,1,JJAS,0.9,0.7450691786870768,3397,0.15493082131292324,0.008425653176229512,0.09000704405737704
gencast,CHIRPS,3,1,JJAS,1.0,0.8186084142394822,6180,0.18139158576051784,0.01794633709016394,0.09000704405737704
gencast,CHIRPS,3,5,JJAS,0.0,0.042356521541641115,44031,0.042356521541641115,0.029857197745901638,0.07166047643442623
gencast,CHIRPS,3,5,JJAS,0.1,0.23583499005964215,4024,0.13583499005964214,0.00875064036885246,0.07166047643442623
gencast,CHIRPS,3,5,JJAS,0.2,0.3042462017919751,2567,0.10424620179197508,0.00428406762295082,0.07166047643442623
gencast,CHIRPS,3,5,JJAS,0.3,0.3674943566591422,2215,0.06749435665914222,0.002393378586065574,0.07166047643442623
gencast,CHIRPS,3,5,JJAS,0.4,0.4087820177731312,1913,0.008782017773131201,0.0002689549180327867,0.07166047643442623
gencast,CHIRPS,3,5,JJAS,0.5,0.4531791907514451,1730,0.04682080924855492,0.0012967469262295083,0.07166047643442623
gencast,CHIRPS,3,5,JJAS,0.6,0.43162983425414364,1448,0.16837016574585634,0.0039030481557377045,0.07166047643442623
gencast,CHIRPS,3,5,JJAS,0.7,0.5042471042471043,1295,0.19575289575289567,0.0040583376024590145,0.07166047643442623
gencast,CHIRPS,3,5,JJAS,0.8,0.5217391304347826,1012,0.27826086956521745,0.004508196721311477,0.07166047643442623
gencast,CHIRPS,3,5,JJAS,0.9,0.5678294573643411,1032,0.3321705426356589,0.005487961065573771,0.07166047643442623
gencast,CHIRPS,3,5,JJAS,1.0,0.6424394319131161,1197,0.35756056808688386,0.006851946721311475,0.07166047643442623
gencast,CHIRPS,3,10,JJAS,0.0,0.02703287197231834,50864,0.02703287197231834,0.02201267930327869,0.04601210297131148
gencast,CHIRPS,3,10,JJAS,0.1,0.15191777387816496,3989,0.05191777387816496,0.0033155097336065574,0.04601210297131148
gencast,CHIRPS,3,10,JJAS,0.2,0.1782051282051282,2340,0.0217948717948718,0.000816470286885246,0.04601210297131148
gencast,CHIRPS,3,10,JJAS,0.3,0.23245331616226658,1553,0.0675466838377334,0.0016793673155737702,0.04601210297131148
gencast,CHIRPS,3,10,JJAS,0.4,0.2574162679425837,1045,0.1425837320574163,0.0023853739754098368,0.04601210297131148
gencast,CHIRPS,3,10,JJAS,0.5,0.25308641975308643,810,0.24691358024691357,0.0032018442622950816,0.04601210297131148
gencast,CHIRPS,3,10,JJAS,0.6,0.28035714285714286,560,0.3196428571428571,0.002865650614754098,0.04601210297131148
gencast,CHIRPS,3,10,JJAS,0.7,0.2765072765072765,481,0.42349272349272343,0.0032610783811475403,0.04601210297131148
gencast,CHIRPS,3,10,JJAS,0.8,0.3102409638554217,332,0.48975903614457833,0.002603099385245902,0.04601210297131148
gencast,CHIRPS,3,10,JJAS,0.9,0.38652482269503546,282,0.5134751773049646,0.00231813524590164,0.04601210297131148
gencast,CHIRPS,3,10,JJAS,1.0,0.5336538461538461,208,0.46634615384615385,0.0015528944672131147,0.04601210297131148
gencast,CHIRPS,3,20,JJAS,0.0,0.007462431693989071,58560,0.007462431693989071,0.006996029713114755,0.016073258196721313
gencast,CHIRPS,3,20,JJAS,0.1,0.05051935788479698,2118,0.049480642115203026,0.001677766393442623,0.016073258196721313
gencast,CHIRPS,3,20,JJAS,0.2,0.04838709677419355,868,0.15161290322580645,0.002106813524590164,0.016073258196721313
gencast,CHIRPS,3,20,JJAS,0.3,0.06720430107526881,372,0.23279569892473118,0.0013863985655737704,0.016073258196721313
gencast,CHIRPS,3,20,JJAS,0.4,0.07766990291262135,206,0.3223300970873787,0.0010630122950819674,0.016073258196721313
gencast,CHIRPS,3,20,JJAS,0.5,0.07534246575342465,146,0.4246575342465754,0.0009925717213114754,0.016073258196721313
gencast,CHIRPS,3,20,JJAS,0.6,0.10126582278481013,79,0.49873417721518987,0.0006307633196721312,0.016073258196721313
gencast,CHIRPS,3,20,JJAS,0.7,0.11627906976744186,43,0.5837209302325581,0.0004018314549180328,0.016073258196721313
gencast,CHIRPS,3,20,JJAS,0.8,0.11764705882352941,34,0.6823529411764706,0.0003714139344262295,0.016073258196721313
gencast,CHIRPS,3,20,JJAS,0.9,0.2857142857142857,21,0.6142857142857143,0.0002065189549180328,0.016073258196721313
gencast,CHIRPS,3,20,JJAS,1.0,0.11764705882352941,17,0.8823529411764706,0.00024013831967213112,0.016073258196721313
gencast,CHIRPS,5,1,JJAS,0.0,0.06317230588695483,30678,0.06317230588695483,0.031025870901639347,0.08938268442622951
gencast,CHIRPS,5,1,JJAS,0.1,0.22163732074786713,5509,0.12163732074786712,0.010727779200819671,0.08938268442622951
gencast,CHIRPS,5,1,JJAS,0.2,0.3173854447439353,2968,0.11738544474393531,0.005577612704918033,0.08938268442622951
gencast,CHIRPS,5,1,JJAS,0.3,0.3781476739223218,2343,0.0781476739223218,0.0029312884221311475,0.08938268442622951
gencast,CHIRPS,5,1,JJAS,0.4,0.4686213991769547,1944,0.0686213991769547,0.0021356301229508187,0.08938268442622951
gencast,CHIRPS,5,1,JJAS,0.5,0.5138036809815951,1956,0.013803680981595123,0.00043224897540983703,0.08938268442622951
gencast,CHIRPS,5,1,JJAS,0.6,0.5749063670411985,2136,0.025093632958801515,0.0008580942622950825,0.08938268442622951
gencast,CHIRPS,5,1,JJAS,0.7,0.6086375779162957,2246,0.09136242208370426,0.0032850922131147505,0.08938268442622951
gencast,CHIRPS,5,1,JJAS,0.8,0.6760762173606211,2834,0.12392378263937898,0.005622438524590164,0.08938268442622951
gencast,CHIRPS,5,1,JJAS,0.9,0.7386117136659436,3688,0.16138828633405644,0.009528688524590167,0.08938268442622951
gencast,CHIRPS,5,1,JJAS,1.0,0.8250567997403441,6162,0.17494320025965593,0.01725794057377049,0.08938268442622951
gencast,CHIRPS,5,5,JJAS,0.0,0.03779487417157158,43154,0.03779487417157158,0.026111039959016393,0.07224001024590165
gencast,CHIRPS,5,5,JJAS,0.1,0.23772809046517604,3891,0.13772809046517603,0.00857934170081967,0.07224001024590165
gencast,CHIRPS,5,5,JJAS,0.2,0.3001136794240242,2639,0.10011367942402422,0.004229636270491802,0.07224001024590165
gencast,CHIRPS,5,5,JJAS,0.3,0.3444548872180451,2128,0.044454887218045136,0.0015144723360655745,0.07224001024590165
gencast,CHIRPS,5,5,JJAS,0.4,0.38556701030927837,1940,0.014432989690721654,0.0004482581967213116,0.07224001024590165
gencast,CHIRPS,5,5,JJAS,0.5,0.4153596538669551,1849,0.08464034613304489,0.0025054431352459017,0.07224001024590165
gencast,CHIRPS,5,5,JJAS,0.6,0.45818399044205493,1674,0.14181600955794504,0.0038005891393442623,0.07224001024590165
gencast,CHIRPS,5,5,JJAS,0.7,0.46163366336633666,1616,0.2383663366336633,0.006166752049180327,0.07224001024590165
gencast,CHIRPS,5,5,JJAS,0.8,0.5079245283018868,1325,0.2920754716981132,0.006195568647540984,0.07224001024590165
gencast,CHIRPS,5,5,JJAS,0.9,0.5439453125,1024,0.3560546875,0.005836962090163935,0.07224001024590165
gencast,CHIRPS,5,5,JJAS,1.0,0.6503267973856209,1224,0.34967320261437906,0.006851946721311474,0.07224001024590165
gencast,CHIRPS,5,10,JJAS,0.0,0.02300163132137031,49040,0.02300163132137031,0.018058401639344263,0.046244236680327865
gencast,CHIRPS,5,10,JJAS,0.1,0.13381834215167548,4536,0.03381834215167548,0.0024558145491803273,0.046244236680327865
gencast,CHIRPS,5,10,JJAS,0.2,0.18693353474320243,2648,0.013066465256797583,0.0005539190573770491,0.046244236680327865
gencast,CHIRPS,5,10,JJAS,0.3,0.21337047353760447,1795,0.08662952646239552,0.0024894339139344256,0.046244236680327865
gencast,CHIRPS,5,10,JJAS,0.4,0.2509682416731216,1291,0.14903175832687843,0.00308017418032787,0.046244236680327865
gencast,CHIRPS,5,10,JJAS,0.5,0.24518743667679838,987,0.2548125633232016,0.004026319159836066,0.046244236680327865
gencast,CHIRPS,5,10,JJAS,0.6,0.2540192926045016,622,0.34598070739549835,0.0034451844262295074,0.046244236680327865
gencast,CHIRPS,5,10,JJAS,0.7,0.2565543071161049,534,0.44344569288389507,0.0037909836065573763,0.046244236680327865
gencast,CHIRPS,5,10,JJAS,0.8,0.3209302325581395,430,0.47906976744186053,0.003297899590163935,0.046244236680327865
gencast,CHIRPS,5,10,JJAS,0.9,0.3490566037735849,318,0.5509433962264152,0.0028048155737704925,0.046244236680327865
gencast,CHIRPS,5,10,JJAS,1.0,0.467680608365019,263,0.532319391634981,0.0022412909836065573,0.046244236680327865
gencast,CHIRPS,5,20,JJAS,0.0,0.006848475294694621,57093,0.006848475294694621,0.0062596055327868855,0.017741419057377052
gencast,CHIRPS,5,20,JJAS,0.1,0.04055299539170507,3255,0.05944700460829493,0.003097784323770492,0.017741419057377052
gencast,CHIRPS,5,20,JJAS,0.2,0.05142857142857143,1050,0.14857142857142858,0.002497438524590164,0.017741419057377052
gencast,CHIRPS,5,20,JJAS,0.3,0.07975460122699386,489,0.22024539877300614,0.0017241931352459017,0.017741419057377052
gencast,CHIRPS,5,20,JJAS,0.4,0.052434456928838954,267,0.34756554307116105,0.001485655737704918,0.017741419057377052
gencast,CHIRPS,5,20,JJAS,0.5,0.10091743119266056,109,0.39908256880733944,0.0006964011270491803,0.017741419057377052
gencast,CHIRPS,5,20,JJAS,0.6,0.13513513513513514,74,0.46486486486486484,0.0005507172131147541,0.017741419057377052
gencast,CHIRPS,5,20,JJAS,0.7,0.11320754716981132,53,0.5867924528301887,0.0004978867827868852,0.017741419057377052
gencast,CHIRPS,5,20,JJAS,0.8,0.11627906976744186,43,0.6837209302325582,0.0004706711065573771,0.017741419057377052
gencast,CHIRPS,5,20,JJAS,0.9,0.0,12,0.9,0.00017289959016393442,0.017741419057377052
gencast,CHIRPS,5,20,JJAS,1.0,0.05263157894736842,19,0.9473684210526316,0.0002881659836065574,0.017741419057377052
gencast,CHIRPS,7,1,JJAS,0.0,0.05630138411905505,28827,0.05630138411905505,0.025982966188524588,0.08000288165983607
gencast,CHIRPS,7,1,JJAS,0.1,0.1910035781223377,5869,0.0910035781223377,0.008550525102459015,0.08000288165983607
gencast,CHIRPS,7,1,JJAS,0.2,0.2891278375149343,3348,0.0891278375149343,0.004777151639344263,0.08000288165983607
gencast,CHIRPS,7,1,JJAS,0.3,0.36824877250409166,2444,0.06824877250409167,0.002670338114754099,0.08000288165983607
gencast,CHIRPS,7,1,JJAS,0.4,0.43432109685979653,2261,0.03432109685979651,0.0012423155737704902,0.08000288165983607
gencast,CHIRPS,7,1,JJAS,0.5,0.4884649511978705,2254,0.011535048802129522,0.0004162397540983597,0.08000288165983607
gencast,CHIRPS,7,1,JJAS,0.6,0.5939625850340136,2352,0.006037414965986421,0.0002273309426229518,0.08000288165983607
gencast,CHIRPS,7,1,JJAS,0.7,0.6287128712871287,2626,0.07128712871287124,0.0029969262295081946,0.08000288165983607
gencast,CHIRPS,7,1,JJAS,0.8,0.6747237569060773,2896,0.1252762430939227,0.005808145491803281,0.08000288165983607
gencast,CHIRPS,7,1,JJAS,0.9,0.7294250281848929,3548,0.17057497181510717,0.009688780737704922,0.08000288165983607
gencast,CHIRPS,7,1,JJAS,1.0,0.8175194568637192,6039,0.18248054313628082,0.0176421618852459,0.08000288165983607
gencast,CHIRPS,7,5,JJAS,0.0,0.032791607652975494,41657,0.032791607652975494,0.021868596311475412,0.0672211193647541
gencast,CHIRPS,7,5,JJAS,0.1,0.21342252913249893,4634,0.11342252913249892,0.008414446721311477,0.0672211193647541
gencast,CHIRPS,7,5,JJAS,0.2,0.3039945836154367,2954,0.10399458361543668,0.004918032786885245,0.0672211193647541
gencast,CHIRPS,7,5,JJAS,0.3,0.3496369889186091,2617,0.049636988918609126,0.0020795978483606568,0.0672211193647541
gencast,CHIRPS,7,5,JJAS,0.4,0.36934244235695984,2342,0.03065755764304018,0.001149462090163936,0.0672211193647541
gencast,CHIRPS,7,5,JJAS,0.5,0.4365455502896261,1899,0.0634544497103739,0.0019291111680327872,0.0672211193647541
gencast,CHIRPS,7,5,JJAS,0.6,0.460625,1600,0.13937499999999997,0.003570056352459016,0.0672211193647541
gencast,CHIRPS,7,5,JJAS,0.7,0.49375866851595007,1442,0.20624133148404988,0.004761142418032786,0.0672211193647541
gencast,CHIRPS,7,5,JJAS,0.8,0.5033222591362126,1204,0.2966777408637874,0.005718493852459016,0.0672211193647541
gencast,CHIRPS,7,5,JJAS,0.9,0.5402298850574713,957,0.35977011494252875,0.005511974897540984,0.0672211193647541
gencast,CHIRPS,7,5,JJAS,1.0,0.6062176165803109,1158,0.3937823834196891,0.0073002049180327854,0.0672211193647541
gencast,CHIRPS,7,10,JJAS,0.0,0.022799958733106366,48465,0.022799958733106366,0.017690189549180328,0.04527727971311476
gencast,CHIRPS,7,10,JJAS,0.1,0.129578025477707,5024,0.029578025477706993,0.002378970286885245,0.04527727971311476
gencast,CHIRPS,7,10,JJAS,0.2,0.17743132887899035,2694,0.02256867112100966,0.0009733606557377053,0.04527727971311476
gencast,CHIRPS,7,10,JJAS,0.3,0.21535291087068523,1941,0.08464708912931476,0.0026303150614754092,0.04527727971311476
gencast,CHIRPS,7,10,JJAS,0.4,0.23676470588235293,1360,0.1632352941176471,0.0035540471311475415,0.04527727971311476
gencast,CHIRPS,7,10,JJAS,0.5,0.23725055432372505,902,0.26274944567627495,0.0037941854508196727,0.04527727971311476
gencast,CHIRPS,7,10,JJAS,0.6,0.2865583456425406,677,0.31344165435745935,0.003397156762295082,0.04527727971311476
gencast,CHIRPS,7,10,JJAS,0.7,0.3047808764940239,502,0.39521912350597604,0.0031762295081967213,0.04527727971311476
gencast,CHIRPS,7,10,JJAS,0.8,0.3493670886075949,395,0.45063291139240513,0.0028496413934426235,0.04527727971311476
gencast,CHIRPS,7,10,JJAS,0.9,0.3161512027491409,291,0.5838487972508591,0.0027199667008196726,0.04527727971311476
gencast,CHIRPS,7,10,JJAS,1.0,0.38028169014084506,213,0.619718309859155,0.0021132172131147543,0.04527727971311476
gencast,CHIRPS,7,20,JJAS,0.0,0.006514657980456026,57102,0.006514657980456026,0.005955430327868852,0.017776639344262296
